idkab;adap_score;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;persen_anggaran_jalan;nmprov;nmkab
6302;41.3531084071258;0.06;14.11;0.33;0.12;0.12;;KALIMANTAN SELATAN;KOTABARU 
6303;40.8445160547365;0.37;20.94;0.07;1.16;0.11;;KALIMANTAN SELATAN;BANJAR 
6304;41.1014815572205;0.05;13.18;0.6;0.06;0.04;;KALIMANTAN SELATAN;BARITO KUALA 
6305;43.6944873655369;0.31;12.7;0.19;0.5;0.14;;KALIMANTAN SELATAN;TAPIN 
6306;47.9630671492413;0.09;27.89;0.08;0.73;0.14;;KALIMANTAN SELATAN;HULU SUNGAI SELATAN 
6307;44.7712888261525;0.5;20.24;0.49;0.58;0.27;2.61;KALIMANTAN SELATAN;HULU SUNGAI TENGAH 
6308;46.6735095279251;0.17;30.89;0.14;0.34;0.11;;KALIMANTAN SELATAN;HULU SUNGAI UTARA 
6309;47.3207195859363;0.5;14.29;0.18;1.25;0.12;;KALIMANTAN SELATAN;TABALONG 
6310;46.6525319302967;0.35;14.53;0.41;0.41;0.16;;KALIMANTAN SELATAN;TANAH BUMBU 
6311;49.3912299726498;0.33;14.49;0.35;0.32;0.08;;KALIMANTAN SELATAN;BALANGAN 
6371;55.6537785965614;0.88;16.23;0.03;4.14;0.33;;KALIMANTAN SELATAN;BANJARMASIN KOTA
6372;51.981167704035;0.19;11.3;0.12;1.8;0.11;4.27;KALIMANTAN SELATAN;BANJAR BARU KOTA
6401;44.9655830114337;0.11;10.94;0.13;0.36;0.14;;KALIMANTAN TIMUR;PASER 
6402;42.8912120826348;0.1;14.96;0.07;0.09;0.07;;KALIMANTAN TIMUR;KUTAI BARAT 
6403;42.3006653143345;0.22;15.64;0.2;0.22;0.35;;KALIMANTAN TIMUR;KUTAI KARTANEGARA 
6404;43.222454003836;0.05;15.18;0.1;0.36;0.11;;KALIMANTAN TIMUR;KUTAI TIMUR 
6405;49.9667745846579;0.42;16.78;0.45;0.56;0.13;;KALIMANTAN TIMUR;BERAU 
6409;45.7724464677556;0.02;18.8;0.01;0.23;0.0;;KALIMANTAN TIMUR;PENAJAM PASER UTARA 
6411;39.8261893133519;0.0;12.3;0.11;0.14;0.18;6.52;KALIMANTAN TIMUR;MAHAKAM HULU 
6471;56.0488570151582;0.1;16.45;0.03;2.73;0.24;;KALIMANTAN TIMUR;BALIKPAPAN KOTA
6472;55.6824503368615;0.24;11.58;0.04;0.11;0.02;;KALIMANTAN TIMUR;SAMARINDA KOTA
6474;54.5742809943951;0.64;19.92;0.12;1.19;0.42;;KALIMANTAN TIMUR;BONTANG KOTA
6501;41.4384579383331;0.23;13.74;0.04;0.55;0.09;;KALIMANTAN UTARA;MALINAU 
6502;48.4376532900175;0.21;25.57;0.15;0.85;0.04;;KALIMANTAN UTARA;BULUNGAN 
6503;48.7771159350838;0.12;17.07;0.27;0.55;0.05;2.93;KALIMANTAN UTARA;TANA TIDUNG 
6504;34.1720505671656;0.18;17.5;0.05;0.58;0.13;3.81;KALIMANTAN UTARA;NUNUKAN 
6571;54.8267116197708;0.06;14.57;0.08;1.41;0.05;;KALIMANTAN UTARA;TARAKAN KOTA
7101;43.4730299793994;0.55;18.15;0.46;0.04;0.17;;SULAWESI UTARA;BOLAANG MONGONDOW 
7102;48.3582585889751;0.03;19.42;0.03;0.51;0.17;;SULAWESI UTARA;MINAHASA 
7103;44.7086638412139;0.03;24.21;0.08;0.22;0.03;1.7;SULAWESI UTARA;KEPULAUAN SANGIHE 
7104;45.5618103749519;0.38;28.23;0.08;0.0;0.16;;SULAWESI UTARA;KEPULAUAN TALAUD 
7105;46.472837582003;0.46;11.56;0.33;0.24;0.03;2.93;SULAWESI UTARA;MINAHASA SELATAN 
7106;44.8101939288849;0.07;19.42;0.12;0.48;0.02;3.17;SULAWESI UTARA;MINAHASA UTARA 
7107;45.3535063180584;0.09;25.87;0.11;0.38;0.05;6.42;SULAWESI UTARA;BOLAANG MONGONDOW UTARA 
7108;47.0089419205957;0.08;19.37;0.14;0.65;0.11;;SULAWESI UTARA;SIAU TAGULANDANG BIARO 
7109;47.3114372011652;0.03;11.8;0.24;0.05;0.03;;SULAWESI UTARA;MINAHASA TENGGARA 
7110;44.0841117935329;0.46;18.41;0.03;0.26;0.04;;SULAWESI UTARA;BOLAANG MONGONDOW SELATAN 
7111;47.2699224425455;0.08;22.41;0.08;0.06;0.07;;SULAWESI UTARA;BOLAANG MONGONDOW TIMUR 
7171;55.2373477216913;0.1;11.64;0.04;2.36;0.01;;SULAWESI UTARA;MANADO KOTA
7172;49.0527904840167;0.19;13.51;0.12;1.65;0.02;;SULAWESI UTARA;BITUNG KOTA
7173;55.4439955928338;0.31;15.15;0.16;0.59;0.02;;SULAWESI UTARA;TOMOHON KOTA
7174;51.1361804400491;0.06;19.14;0.15;1.15;0.03;;SULAWESI UTARA;KOTAMOBAGU KOTA
7201;44.035850170183;0.32;14.76;0.17;0.28;0.06;;SULAWESI TENGAH;BANGGAI KEPULAUAN 
7202;45.5462104173314;0.9;26.23;0.26;0.6;0.06;;SULAWESI TENGAH;BANGGAI 
7203;43.0748758124095;0.28;14.36;0.03;0.51;0.15;;SULAWESI TENGAH;MOROWALI 
7204;51.1680818979094;0.2;18.56;0.09;0.13;0.02;;SULAWESI TENGAH;POSO 
7205;40.5069269044437;0.65;13.32;0.39;0.08;0.04;;SULAWESI TENGAH;DONGGALA 
7206;42.3255577542542;0.41;21.48;0.26;0.3;0.05;3.01;SULAWESI TENGAH;TOLI-TOLI 
7207;44.951283571502;0.41;19.57;0.68;0.02;0.1;1.8;SULAWESI TENGAH;BUOL 
7208;43.2282234630043;0.03;17.93;0.48;0.03;0.0;;SULAWESI TENGAH;PARIGI MOUTONG 
7209;40.2414639556521;2.16;19.66;0.1;0.33;0.03;;SULAWESI TENGAH;TOJO UNA-UNA 
7210;40.7537126401258;5.26;18.16;0.11;0.08;0.02;;SULAWESI TENGAH;SIGI 
7211;44.4369290734567;0.06;15.67;0.09;0.01;0.04;5.19;SULAWESI TENGAH;BANGGAI LAUT 
7212;44.2728888717331;0.21;19.0;0.05;0.02;0.13;;SULAWESI TENGAH;MOROWALI UTARA 
7271;54.6790254303027;8.76;16.84;0.1;1.4;0.19;;SULAWESI TENGAH;PALU KOTA
7301;43.907974470604;1.46;25.55;0.02;0.54;0.39;;SULAWESI SELATAN;KEPULAUAN SELAYAR 
7302;43.1450251417361;1.0;19.03;0.27;0.5;0.03;;SULAWESI SELATAN;BULUKUMBA 
7303;46.4864603298411;0.58;21.2;0.32;0.45;0.47;;SULAWESI SELATAN;BANTAENG 
7304;42.7770618760187;0.21;22.95;0.46;0.12;0.01;2.8;SULAWESI SELATAN;JENEPONTO 
7305;44.07401376314;0.03;29.65;0.46;0.17;0.1;;SULAWESI SELATAN;TAKALAR 
7306;44.12726090571;1.28;16.25;0.29;0.36;0.0;;SULAWESI SELATAN;GOWA 
7307;46.7833926496562;1.61;20.95;0.21;0.21;0.35;;SULAWESI SELATAN;SINJAI 
7308;47.136364275799;0.14;18.75;0.41;0.8;0.01;5.12;SULAWESI SELATAN;MAROS 
7309;41.4542086261063;0.16;23.09;0.26;0.2;0.02;;SULAWESI SELATAN;PANGKAJENE DAN KEPULAUAN 
7310;46.1824407018525;0.05;24.74;0.23;0.42;0.01;;SULAWESI SELATAN;BARRU 
7311;41.1758909921856;0.1;15.65;0.4;0.17;0.08;;SULAWESI SELATAN;BONE 
7312;48.9679879939884;0.08;19.77;0.24;0.25;0.01;11.87;SULAWESI SELATAN;SOPPENG 
7313;42.1946260633848;0.05;19.95;0.24;0.09;0.0;5.31;SULAWESI SELATAN;WAJO 
7314;47.0764376654126;0.06;21.19;0.28;0.41;0.03;6.64;SULAWESI SELATAN;SIDENRENG RAPPANG 
7315;45.3140154735306;0.03;21.97;0.62;0.54;0.11;;SULAWESI SELATAN;PINRANG 
7316;46.4207930805875;0.14;19.27;0.05;0.0;0.01;;SULAWESI SELATAN;ENREKANG 
7317;44.025947259137;0.08;16.25;0.26;0.14;0.29;;SULAWESI SELATAN;LUWU 
7318;41.6984355385651;0.09;19.77;0.05;0.04;0.0;;SULAWESI SELATAN;TANA TORAJA 
7322;42.622051690995;0.43;17.98;0.42;0.2;0.11;14.81;SULAWESI SELATAN;LUWU UTARA 
7325;47.4193819451937;0.36;23.43;0.25;0.26;0.05;3.45;SULAWESI SELATAN;LUWU TIMUR 
7326;43.9608545038675;0.22;13.79;0.14;0.21;0.04;;SULAWESI SELATAN;TORAJA UTARA 
7371;52.4659271648452;0.25;11.55;0.39;0.84;0.05;8.19;SULAWESI SELATAN;MAKASSAR KOTA
7372;52.5867266287884;0.15;26.58;0.1;1.08;0.07;6.33;SULAWESI SELATAN;PAREPARE KOTA
7373;51.6280754859782;0.62;23.87;0.13;0.9;0.16;7.98;SULAWESI SELATAN;PALOPO KOTA
7401;42.6971599165376;0.12;12.74;0.09;0.19;0.01;;SULAWESI TENGGARA;BUTON 
7402;48.4433887939037;0.01;16.33;0.43;0.07;0.02;12.08;SULAWESI TENGGARA;MUNA 
7403;44.5659803858177;0.08;14.81;1.11;0.36;0.07;;SULAWESI TENGGARA;KONAWE 
7404;45.1146664063559;0.07;20.65;0.37;0.39;0.26;3.55;SULAWESI TENGGARA;KOLAKA 
7405;41.2719710879026;0.55;9.9;0.09;0.12;0.01;;SULAWESI TENGGARA;KONAWE SELATAN 
7406;43.309804114259;0.75;14.27;0.07;0.16;0.01;9.46;SULAWESI TENGGARA;BOMBANA 
7407;48.7343686661811;2.44;19.12;0.41;0.88;0.02;3.59;SULAWESI TENGGARA;WAKATOBI 
7408;50.2155651148607;0.07;15.2;0.17;0.44;0.01;;SULAWESI TENGGARA;KOLAKA UTARA 
7409;46.0328334890411;0.09;11.13;0.15;0.25;0.08;;SULAWESI TENGGARA;BUTON UTARA 
7410;41.623173267914;0.17;8.15;0.38;0.03;0.06;;SULAWESI TENGGARA;KONAWE UTARA 
7411;40.2427633744961;0.22;12.15;0.11;0.0;0.02;;SULAWESI TENGGARA;KOLAKA TIMUR 
7412;40.9195901021862;0.12;11.79;0.15;0.04;0.01;;SULAWESI TENGGARA;KONAWE KEPULAUAN 
7413;47.6649089159385;0.08;19.98;0.2;0.0;0.06;;SULAWESI TENGGARA;MUNA BARAT 
7414;43.2428722652469;0.1;15.63;0.12;0.06;0.02;10.3;SULAWESI TENGGARA;BUTON TENGAH 
7415;44.5916267037833;0.2;14.89;0.05;0.07;0.02;4.88;SULAWESI TENGGARA;BUTON SELATAN 
7471;51.9673025016638;0.06;19.13;0.06;0.99;0.07;;SULAWESI TENGGARA;KENDARI KOTA
7472;56.4760272450329;0.06;18.71;0.1;0.71;0.04;;SULAWESI TENGGARA;BAUBAU KOTA
7501;46.5021850787578;0.14;15.87;0.09;0.03;0.04;;GORONTALO;BOALEMO 
7502;44.5011890644476;0.1;16.17;0.32;0.19;0.01;;GORONTALO;GORONTALO 
7503;48.9010259513152;0.95;15.19;0.12;0.36;0.04;;GORONTALO;POHUWATO 
7504;48.0825286844284;0.07;18.97;0.05;0.28;0.01;;GORONTALO;BONE BOLANGO 
7505;46.3121641890309;0.13;20.9;0.2;0.09;0.01;;GORONTALO;GORONTALO UTARA 
7571;51.1206033283973;0.06;25.64;0.09;0.73;0.01;;GORONTALO;GORONTALO KOTA
7601;44.7592921300431;0.15;16.38;0.24;0.29;0.19;;SULAWESI BARAT;MAJENE 
7602;42.5181896576713;0.04;21.55;0.2;0.51;0.16;1.97;SULAWESI BARAT;POLEWALI MANDAR 
7603;36.5528601085696;0.63;15.42;0.07;0.06;0.06;;SULAWESI BARAT;MAMASA 
7604;39.7724373091284;0.04;19.53;0.39;0.6;0.13;;SULAWESI BARAT;MAMUJU 
7605;44.3076931483903;;;;;;;SULAWESI BARAT;PASANGKAYU 
7606;42.4411851037829;0.32;16.88;0.08;0.27;0.05;6.14;SULAWESI BARAT;MAMUJU TENGAH 
8101;39.975936006344;;;;;;;MALUKU;KEPULAUAN TANIMBAR 
8102;37.6413338907229;0.26;12.85;0.05;0.45;0.02;;MALUKU;MALUKU TENGGARA 
8103;44.9679469644118;0.32;13.96;0.14;0.18;0.01;3.79;MALUKU;MALUKU TENGAH 
8104;41.3927564800666;0.01;10.56;0.24;0.29;0.02;8.58;MALUKU;BURU 
8105;28.5157448362801;0.23;16.01;0.16;0.34;0.13;;MALUKU;KEPULAUAN ARU 
8106;38.0225507993652;0.06;13.17;0.1;0.04;0.01;6.52;MALUKU;SERAM BAGIAN BARAT 
8107;33.7377982120856;0.14;14.62;0.38;0.13;0.06;5.38;MALUKU;SERAM BAGIAN TIMUR 
8108;35.3734668357038;0.28;10.7;0.11;0.08;0.05;20.0;MALUKU;MALUKU BARAT DAYA 
8109;31.3308133812548;0.17;12.29;0.24;0.02;0.16;3.75;MALUKU;BURU SELATAN 
8171;57.1660693687718;0.46;8.13;0.04;2.2;0.09;;MALUKU;AMBON KOTA
8172;42.5294092131279;0.06;14.1;0.17;1.86;0.03;7.63;MALUKU;TUAL KOTA
8201;41.0503511721927;0.55;12.44;0.08;0.09;0.07;;MALUKU UTARA;HALMAHERA BARAT 
8202;43.2131573778742;0.11;12.23;0.24;0.23;0.06;;MALUKU UTARA;HALMAHERA TENGAH 
8203;36.4358165515573;0.2;14.36;0.23;0.45;0.02;;MALUKU UTARA;KEPULAUAN SULA 
8204;33.2882546012299;0.07;15.2;0.09;0.48;0.19;4.89;MALUKU UTARA;HALMAHERA SELATAN 
8205;40.1664942576099;1.08;21.01;0.11;0.48;0.26;;MALUKU UTARA;HALMAHERA UTARA 
8206;43.3617137465759;0.09;13.98;0.65;0.18;0.13;7.35;MALUKU UTARA;HALMAHERA TIMUR 
8207;41.8851993651919;0.76;19.78;0.07;0.64;0.0;;MALUKU UTARA;PULAU MOROTAI 
8208;30.5359196302431;0.5;5.96;0.17;0.13;0.01;;MALUKU UTARA;PULAU TALIABU 
8271;52.807295395988;0.16;10.15;0.23;1.78;0.08;;MALUKU UTARA;TERNATE KOTA
8272;49.224610990323;0.09;17.63;0.13;0.58;0.04;;MALUKU UTARA;TIDORE KEPULAUAN KOTA
9101;38.1911070133248;0.16;15.59;0.54;0.14;0.15;3.68;PAPUA BARAT;FAKFAK 
9102;31.3482314919357;0.04;11.37;0.03;0.2;0.05;6.13;PAPUA BARAT;KAIMANA 
9103;34.1437912275052;2.12;10.74;0.65;0.54;0.05;;PAPUA BARAT;TELUK WONDAMA 
9104;33.4318600048966;3.22;11.71;0.36;0.48;0.04;;PAPUA BARAT;TELUK BINTUNI 
9105;40.7755481517709;0.09;13.43;0.07;1.41;0.02;;PAPUA BARAT;MANOKWARI 
9106;29.7957735195208;0.18;12.4;0.59;0.3;0.22;9.88;PAPUA BARAT;SORONG SELATAN 
9107;28.9685903627927;0.42;16.97;0.23;0.46;;9.55;PAPUA BARAT;SORONG 
9108;29.1256516626194;0.85;16.46;0.13;0.84;0.06;;PAPUA BARAT;RAJA AMPAT 
9109;24.1118973753366;0.99;25.91;0.29;0.56;0.01;;PAPUA BARAT;TAMBRAUW 
9110;34.4618418244402;0.02;18.65;0.11;0.02;0.02;13.15;PAPUA BARAT;MAYBRAT 
9111;36.228925263602;0.03;8.62;0.03;0.13;0.02;5.64;PAPUA BARAT;MANOKWARI SELATAN 
9112;21.6262033998811;1.81;10.08;0.11;;0.27;;PAPUA BARAT;PEGUNUNGAN ARFAK 
9171;48.3761148458726;0.11;19.7;0.47;1.29;0.33;;PAPUA BARAT;SORONG KOTA
9401;36.0885725119253;0.05;16.8;0.44;0.37;0.12;4.89;PAPUA;MERAUKE 
9402;25.4742142845228;0.01;18.9;0.4;0.53;0.03;;PAPUA;JAYAWIJAYA 
9403;40.2857917934003;8.66;12.42;0.26;0.35;0.19;;PAPUA;JAYAPURA 
9404;36.2309265055919;0.45;17.78;0.24;0.13;0.06;;PAPUA;NABIRE 
9408;33.2657692754604;0.02;14.12;0.05;0.01;;21.9;PAPUA;KEPULAUAN YAPEN 
9409;38.2220970957798;0.82;16.71;0.16;1.15;0.02;;PAPUA;BIAK NUMFOR 
9410;15.3099179539541;0.03;14.61;0.04;0.37;0.03;3.8;PAPUA;PANIAI 
9411;15.3413408628406;1.51;12.71;0.2;0.0;0.09;4.89;PAPUA;PUNCAK JAYA 
9412;30.5600431127894;0.04;12.72;0.3;0.66;0.13;;PAPUA;MIMIKA 
9413;26.9257776472494;;;;;;;PAPUA;BOVEN DIGOEL 
9414;22.3892222399126;0.01;21.39;0.84;0.13;0.11;7.1;PAPUA;MAPPI 
9415;15.7508936622277;0.4;18.31;0.45;0.01;0.01;;PAPUA;ASMAT 
9416;14.463829417362;0.41;10.87;1.3;0.13;;;PAPUA;YAHUKIMO 
9417;16.5548185524522;0.57;12.77;0.19;0.51;0.16;;PAPUA;PEGUNUNGAN BINTANG 
9418;14.7323113071318;0.0;10.56;;;;;PAPUA;TOLIKARA 
9419;33.8137921665343;1.14;11.16;0.46;0.26;0.09;6.44;PAPUA;SARMI 
9420;33.1506556222288;0.42;10.86;0.79;0.06;0.37;;PAPUA;KEEROM 
9426;27.143315113611;;;;;;;PAPUA;WAROPEN 
9427;38.5901614026384;0.6;10.5;0.29;0.63;0.07;6.27;PAPUA;SUPIORI 
9428;20.0100390038865;0.01;8.11;0.02;;0.12;8.16;PAPUA;MAMBERAMO RAYA 
9429;13.2324085205507;0.09;14.99;;0.18;;5.26;PAPUA;NDUGA 
9430;15.2033042861871;0.05;15.75;0.07;0.07;0.02;4.73;PAPUA;LANNY JAYA 
9431;23.7310647790369;0.07;7.28;0.2;0.11;0.11;7.4;PAPUA;MAMBERAMO TENGAH 
9432;19.362081515251;1.68;6.62;0.33;0.46;0.02;;PAPUA;YALIMO 
9433;14.0856860438335;0.0;14.68;;;;;PAPUA;PUNCAK 
9434;13.7959666177083;0.38;10.52;0.39;0.22;;;PAPUA;DOGIYAI 
9435;11.4790674736412;0.35;8.65;0.62;0.03;;;PAPUA;INTAN JAYA 
9436;19.674596564268;0.26;13.13;0.38;;0.12;;PAPUA;DEIYAI 
9471;51.4012090240476;0.22;10.5;0.2;0.29;0.08;;PAPUA;JAYAPURA KOTA
