"","idkab","expo_index","sensi_index","adap_index","hazard_score","adap_score","vul_idx","persen_anggaran_bencana","persen_anggaran_jalan","persen_anggaran_kesehatan","persen_anggaran_pangan","persen_anggaran_sampah","persen_anggaran_lh"
"385","7174",0.356396493884401,5.85917429951278,51.1361804400491,3.10778539669859,51.1361804400491,-0.710453027319173,0.06,NA,19.14,0.15,1.15,0.03
"386","7201",1.69955866790205,17.3598875604301,44.035850170183,9.52972311416606,44.035850170183,-0.340947185066711,0.32,NA,14.76,0.17,0.28,0.06
"387","7202",12.7600900285452,13.6327234890325,45.5462104173314,13.1964067587889,45.5462104173314,-0.365799391067054,0.9,NA,26.23,0.26,0.6,0.06
"388","7203",1.76665275652511,13.3141768967274,43.0748758124095,7.54041482662626,43.0748758124095,-0.399684437636672,0.28,NA,14.36,0.03,0.51,0.15
"389","7204",15.1630952523935,11.3069936181452,51.1680818979094,13.2350444352694,51.1680818979094,-0.50374964554423,0.2,NA,18.56,0.09,0.13,0.02
"390","7205",11.1799917206484,14.7122260458728,40.5069269044437,12.9461088832606,40.5069269044437,-0.257548218782889,0.65,NA,13.32,0.39,0.08,0.04
"391","7206",9.23209521559423,15.9845085572437,42.3255577542542,12.608301886419,42.3255577542542,-0.281997240550338,0.41,3.01,21.48,0.26,0.3,0.05
"392","7207",11.964187501109,15.4089587352845,44.951283571502,13.6865731181967,44.951283571502,-0.3254596242408,0.41,1.8,19.57,0.68,0.02,0.1
"393","7208",14.5893114420918,17.4913487982816,43.2282234630043,16.0403301201867,43.2282234630043,-0.233551127252649,0.03,NA,17.93,0.48,0.03,0
"394","7209",10.3038122056384,17.9786833049628,40.2414639556521,14.1412477553006,40.2414639556521,-0.195478471342298,2.16,NA,19.66,0.1,0.33,0.03
"395","7210",6.55972044465466,11.2745196207985,40.7537126401258,8.91712003272656,40.7537126401258,-0.360546162514653,5.26,NA,18.16,0.11,0.08,0.02
"396","7211",1.18234981095614,15.7192302501023,44.4369290734567,8.45079003052921,44.4369290734567,-0.383966858162955,0.06,5.19,15.67,0.09,0.01,0.04
"397","7212",7.04048150558657,11.7565252006804,44.2728888717331,9.39850335313348,44.2728888717331,-0.416632375726773,0.21,NA,19,0.05,0.02,0.13
"398","7271",0.702966966821226,7.59476539599062,54.6790254303027,4.14886618140592,54.6790254303027,-0.743772468199502,8.76,NA,16.84,0.1,1.4,0.19
"399","7301",4.49166677119242,16.9544128546783,43.907974470604,10.7230398129354,43.907974470604,-0.326964605593313,1.46,NA,25.55,0.02,0.54,0.39
"400","7302",5.79248761155078,10.028210844793,43.1450251417361,7.9103492281719,43.1450251417361,-0.436546206017992,1,NA,19.03,0.27,0.5,0.03
"401","7303",5.57214735551307,11.3898536390108,46.4864603298411,8.48100049726196,46.4864603298411,-0.477058490821064,0.58,NA,21.2,0.32,0.45,0.47
"402","7304",3.55039268594207,11.5576067531842,42.7770618760187,7.55399971956313,42.7770618760187,-0.415389969945088,0.21,2.8,22.95,0.46,0.12,0.01
"403","7305",5.31565856616389,9.12854094730699,44.07401376314,7.22209975673544,44.07401376314,-0.475313346737717,0.03,NA,29.65,0.46,0.17,0.1
"404","7306",7.23477236553117,6.44769415351336,44.12726090571,6.84123325952226,44.12726090571,-0.514746816374082,1.28,NA,16.25,0.29,0.36,0
"405","7307",7.24576949475132,10.2039805634355,46.7833926496562,8.7248750290934,46.7833926496562,-0.494137942256805,1.61,NA,20.95,0.21,0.21,0.35
"406","7308",9.42107345643539,7.44976994844777,47.136364275799,8.43542170244158,47.136364275799,-0.539065162671386,0.14,5.12,18.75,0.41,0.8,0.01
"407","7309",9.67343787405964,10.7948038831769,41.4542086261063,10.2341208786183,41.4542086261063,-0.361941717169831,0.16,NA,23.09,0.26,0.2,0.02
"408","7310",6.12393498837032,11.6311918953666,46.1824407018525,8.87756344186847,46.1824407018525,-0.462659111844045,0.05,NA,24.74,0.23,0.42,0.01
"409","7311",11.5133759243834,8.92579041734698,41.1758909921856,10.2195831708652,41.1758909921856,-0.379806142011284,0.1,NA,15.65,0.4,0.17,0.08
"410","7312",4.51810133540885,8.29003291835288,48.9679879939884,6.40406712688086,48.9679879939884,-0.592518982521917,0.08,11.87,19.77,0.24,0.25,0.01
"411","7313",14.8735911957758,7.72984375679261,42.1946260633848,11.3017174762842,42.1946260633848,-0.399511798303997,0.05,5.31,19.95,0.24,0.09,0
"412","7314",6.09859155193103,6.66739574450037,47.0764376654126,6.3829936482157,47.0764376654126,-0.57593738234172,0.06,6.64,21.19,0.28,0.41,0.03
"413","7315",5.06850883246494,9.58836763924804,45.3140154735306,7.32843823585649,45.3140154735306,-0.49236688969427,0.03,NA,21.97,0.62,0.54,0.11
"414","7316",4.18351732229528,8.79491300349083,46.4207930805875,6.48921516289306,46.4207930805875,-0.535379205613106,0.14,NA,19.27,0.05,0,0.01
"415","7317",26.8516351363128,10.0457672712229,44.025947259137,18.4487012037679,44.025947259137,-0.307838166096875,0.08,NA,16.25,0.26,0.14,0.29
"416","7318",10.5785817045132,10.8332629000219,41.6984355385651,10.7059223022675,41.6984355385651,-0.359711567859929,0.09,NA,19.77,0.05,0.04,0
"417","7322",13.330454611199,10.2645993431999,42.622051690995,11.7975269771994,42.622051690995,-0.369677799664681,0.43,14.81,17.98,0.42,0.2,0.11
"418","7325",8.34728370801518,10.0408514000913,47.4193819451937,9.19406755405322,47.4193819451937,-0.502082556775487,0.36,3.45,23.43,0.25,0.26,0.05
"419","7326",9.42048998321924,10.1178474705453,43.9608545038675,9.76916872688229,43.9608545038675,-0.425666988382954,0.22,NA,13.79,0.14,0.21,0.04
"420","7371",2.14347967637501,5.45633590847329,52.4659271648452,3.79990779242415,52.4659271648452,-0.731820745088401,0.25,8.19,11.55,0.39,0.84,0.05
"421","7372",2.27766544287213,8.61109775089552,52.5867266287884,5.44438159688383,52.5867266287884,-0.672459641996276,0.15,6.33,26.58,0.1,1.08,0.07
"422","7373",1.06505918500291,9.00419496810937,51.6280754859782,5.03462707655614,51.6280754859782,-0.654552828449801,0.62,7.98,23.87,0.13,0.9,0.16
"423","7401",1.95378763195052,14.2990300579858,42.6971599165376,8.12640884496815,42.6971599165376,-0.372039613968153,0.12,NA,12.74,0.09,0.19,0.01
"424","7402",2.92621292978998,10.8717598616757,48.4433887939037,6.89898639573285,48.4433887939037,-0.543532450088008,0.01,12.08,16.33,0.43,0.07,0.02
"425","7403",12.9467108327394,8.36467269473483,44.5659803858177,10.6556917637371,44.5659803858177,-0.446888830811047,0.08,NA,14.81,1.11,0.36,0.07
"426","7404",6.10369996500384,10.8057096569416,45.1146664063559,8.45470481097273,45.1146664063559,-0.457861951699042,0.07,3.55,20.65,0.37,0.39,0.26
"427","7405",10.881232282959,11.4588130856239,41.2719710879026,11.1700226842914,41.2719710879026,-0.337240358140358,0.55,NA,9.9,0.09,0.12,0.01
"428","7406",6.59389961193634,12.4795951811561,43.309804114259,9.53674739654622,43.309804114259,-0.386985544989682,0.75,9.46,14.27,0.07,0.16,0.01
"429","7407",3.40028170357455,14.6848746692229,48.7343686661811,9.04257818639875,48.7343686661811,-0.472457723097249,2.44,3.59,19.12,0.41,0.88,0.02
"430","7408",7.68459220090465,13.6504731001606,50.2155651148607,10.6675326505326,50.2155651148607,-0.491690521685593,0.07,NA,15.2,0.17,0.44,0.01
"431","7409",4.9011277961087,15.6444366718102,46.0328334890411,10.2727822339594,46.0328334890411,-0.390856490394047,0.09,NA,11.13,0.15,0.25,0.08
"432","7410",13.5972257666829,10.109129101782,41.623173267914,11.8531774342324,41.623173267914,-0.351330680022128,0.17,NA,8.15,0.38,0.03,0.06
"433","7411",2.53376824852123,10.6013578347271,40.2427633744961,6.56756304162415,40.2427633744961,-0.391372070594673,0.22,NA,12.15,0.11,0,0.02
"434","7412",5.40151571200611,17.0604665992724,40.9195901021862,11.2309911556393,40.9195901021862,-0.26029588775225,0.12,NA,11.79,0.15,0.04,0.01
"435","7413",3.37611867058425,11.0916738879158,47.6649089159385,7.23389627925001,47.6649089159385,-0.520988250571708,0.08,NA,19.98,0.2,0,0.06
"436","7414",2.7825837557943,13.4238368213505,43.2428722652469,8.10321028857238,43.2428722652469,-0.393828383062208,0.1,10.3,15.63,0.12,0.06,0.02
"437","7415",2.04641814886291,14.6801381253353,44.5916267037833,8.36327813709911,44.5916267037833,-0.401037156544996,0.2,4.88,14.89,0.05,0.07,0.02
"438","7471",3.29362354807515,7.77308924487683,51.9673025016638,5.53335639647599,51.9673025016638,-0.669493635341214,0.06,NA,19.13,0.06,0.99,0.07
"439","7472",0.778510310841758,8.91571083566333,56.4760272450329,4.84711057325254,56.4760272450329,-0.752875019963733,0.06,NA,18.71,0.1,0.71,0.04
"440","7501",7.79049378901229,12.1573581662028,46.5021850787578,9.97392597760752,46.5021850787578,-0.447242009067823,0.14,NA,15.87,0.09,0.03,0.04
"441","7502",11.3631950722736,9.55156816541355,44.5011890644476,10.4573816188436,44.5011890644476,-0.433698443099362,0.1,NA,16.17,0.32,0.19,0.01
"442","7503",9.68120461763543,11.6959111155433,48.9010259513152,10.6885578665894,48.9010259513152,-0.489892493264058,0.95,NA,15.19,0.12,0.36,0.04
"443","7504",10.2991082226932,10.1858841179085,48.0825286844284,10.2424961703008,48.0825286844284,-0.498741526396072,0.07,NA,18.97,0.05,0.28,0.01
"444","7505",14.4944000987769,15.4739800848236,46.3121641890309,14.9841900918003,46.3121641890309,-0.333282833293129,0.13,NA,20.9,0.2,0.09,0.01
"445","7571",1.71989644794464,6.29455694164713,51.1206033283973,4.00722669479588,51.1206033283973,-0.692334347848005,0.06,NA,25.64,0.09,0.73,0.01
"446","7601",3.54882484754609,14.2317775923961,44.7592921300431,8.89030121997108,44.7592921300431,-0.40256495121669,0.15,NA,16.38,0.24,0.29,0.19
"447","7602",7.39568507451981,9.0730238767295,42.5181896576713,8.23435447562466,42.5181896576713,-0.431634384498119,0.04,1.97,21.55,0.2,0.51,0.16
"448","7603",16.5334926351463,12.4640498744032,36.5528601085696,14.4987712547747,36.5528601085696,-0.186678448246246,0.63,NA,15.42,0.07,0.06,0.06
"449","7604",10.6465772993144,14.3393736054647,39.7724373091284,12.4929754523895,39.7724373091284,-0.254082209136551,0.04,NA,19.53,0.39,0.6,0.13
"450","7605",5.9962547659278,13.0439134413505,44.3076931483903,9.52008410363913,44.3076931483903,-0.399722005438638,NA,NA,NA,NA,NA,NA
"451","7606",3.14242721893054,11.6467679753856,42.4411851037829,7.39459759715809,42.4411851037829,-0.409935189716747,0.32,6.14,16.88,0.08,0.27,0.05
"452","8101",5.62116685964532,20.4455900411888,39.975936006344,13.0333784504171,39.975936006344,-0.175125899888792,NA,NA,NA,NA,NA,NA
"453","8102",6.16597127832704,18.185317853273,37.6413338907229,12.1756445658,37.6413338907229,-0.169341559434018,0.26,NA,12.85,0.05,0.45,0.02
"454","8103",6.65716940711376,14.6563245831268,44.9679469644118,10.6567469951203,44.9679469644118,-0.376971478721823,0.32,3.79,13.96,0.14,0.18,0.01
"455","8104",3.12721051738825,12.3184525599643,41.3927564800666,7.72283153867626,41.3927564800666,-0.376630851718057,0.01,8.58,10.56,0.24,0.29,0.02
"456","8105",2.12274420670693,22.0357468892241,28.5157448362801,12.0792455479655,28.5157448362801,0.0550474953236839,0.23,NA,16.01,0.16,0.34,0.13
"457","8106",5.56360882444374,18.0233800610716,38.0225507993652,11.7934944427577,38.0225507993652,-0.184067452678002,0.06,6.52,13.17,0.1,0.04,0.01
"458","8107",6.05124793212609,21.534483595364,33.7377982120856,13.7928657637451,33.7377982120856,-0.0293961746155869,0.14,5.38,14.62,0.38,0.13,0.06
"459","8108",2.71696581914639,19.3499924387625,35.3734668357038,11.0334791289544,35.3734668357038,-0.126468060002242,0.28,20,10.7,0.11,0.08,0.05
"460","8109",6.65499389206161,18.9221990810551,31.3308133812548,12.7885964865584,31.3308133812548,-0.0285746531919102,0.17,3.75,12.29,0.24,0.02,0.16
"461","8171",4.59935931791146,12.2496764528108,57.1660693687718,8.42451788536114,57.1660693687718,-0.675689681382163,0.46,NA,8.13,0.04,2.2,0.09
"462","8172",0.247747155676615,14.6778564228002,42.5294092131279,7.46280178923841,42.5294092131279,-0.37325763345057,0.06,7.63,14.1,0.17,1.86,0.03
"463","8201",14.6707614569424,15.6616248033607,41.0503511721927,15.1661931301515,41.0503511721927,-0.225732531464915,0.55,NA,12.44,0.08,0.09,0.07
"464","8202",2.56863603245659,16.4901610684371,43.2131573778742,9.52939855044687,43.2131573778742,-0.335639666041306,0.11,NA,12.23,0.24,0.23,0.06
"465","8203",2.04897868811305,18.0015154858805,36.4358165515573,10.0252470869968,36.4358165515573,-0.177808294321998,0.2,NA,14.36,0.23,0.45,0.02
"466","8204",17.8462800856286,18.2185187139719,33.2882546012299,18.0323993998002,33.2882546012299,-0.00298848896911624,0.07,4.89,15.2,0.09,0.48,0.19
"467","8205",6.99401083477907,14.853794482522,40.1664942576099,10.9239026586505,40.1664942576099,-0.277109220035346,1.08,NA,21.01,0.11,0.48,0.26
"468","8206",6.09840530058311,17.1261139836033,43.3617137465759,11.6122596420932,43.3617137465759,-0.301886269139866,0.09,7.35,13.98,0.65,0.18,0.13
"469","8207",3.49262995296504,19.7781616173243,41.8851993651919,11.6353957851447,41.8851993651919,-0.239970662833216,0.76,NA,19.78,0.07,0.64,0
"470","8208",3.93429546589042,21.2733237076119,30.5359196302431,12.6038095867512,30.5359196302431,0.0134419900964559,0.5,NA,5.96,0.17,0.13,0.01
"471","8271",1.86134673663711,10.7916319494349,52.807295395988,6.32648934303598,52.807295395988,-0.637624543057346,0.16,NA,10.15,0.23,1.78,0.08
"472","8272",8.19510589219698,12.3081287605912,49.224610990323,10.2516173263941,49.224610990323,-0.494684131870987,0.09,NA,17.63,0.13,0.58,0.04
"473","9101",2.12884195038286,13.5790928798489,38.1911070133248,7.85396741511588,38.1911070133248,-0.296740410058006,0.16,3.68,15.59,0.54,0.14,0.15
"474","9102",1.53098374709258,15.9850433063478,31.3482314919357,8.75801352672017,31.3482314919357,-0.12093158164248,0.04,6.13,11.37,0.03,0.2,0.05
"475","9103",0.24558767630302,18.4493509476345,34.1437912275052,9.34746931196876,34.1437912275052,-0.136901662926322,2.12,NA,10.74,0.65,0.54,0.05
"476","9104",3.55993306911668,8.10604787455084,33.4318600048966,5.83299047183376,33.4318600048966,-0.299408116443442,3.22,NA,11.71,0.36,0.48,0.04
"477","9105",1.43757051635669,9.35513183885081,40.7755481517709,5.39635117760375,40.7755481517709,-0.433364258443999,0.09,NA,13.43,0.07,1.41,0.02
"478","9106",0.0691575518226655,16.8150519961862,29.7957735195208,8.44210477400441,29.7957735195208,-0.0847365851830835,0.18,9.88,12.4,0.59,0.3,0.22
"479","9107",0.695111763150346,9.87677208728982,28.9685903627927,5.28594192522008,28.9685903627927,-0.197961869972784,0.42,9.55,16.97,0.23,0.46,NA
"480","9108",1.13637621619917,18.0753217292815,29.1256516626194,9.60584897274033,29.1256516626194,-0.0399931431648104,0.85,NA,16.46,0.13,0.84,0.06
"481","9109",0.975278215364699,12.2938869508185,24.1118973753366,6.63458258309159,24.1118973753366,-0.0546408638665876,0.99,NA,25.91,0.29,0.56,0.01
"482","9110",0.0345787759113327,10.245381504907,34.4618418244402,5.13998014040919,34.4618418244402,-0.302657859583911,0.02,13.15,18.65,0.11,0.02,0.02
"483","9111",0.207472655467996,12.1146476757305,36.228925263602,6.16106016559926,36.228925263602,-0.299937424344329,0.03,5.64,8.62,0.03,0.13,0.02
"484","9112",3.35649228337602,12.0495260817818,21.6262033998811,7.7030091825789,21.6262033998811,0.00563290081807608,1.81,NA,10.08,0.11,NA,0.27
"485","9171",3.72850557917718,9.87574974276209,48.3761148458726,6.80212766096963,48.3761148458726,-0.555866488332313,0.11,NA,19.7,0.47,1.29,0.33
"486","9401",0.858372613609478,13.0614410342998,36.0885725119253,6.95990682395465,36.0885725119253,-0.274453889290758,0.05,4.89,16.8,0.44,0.37,0.12
"487","9402",5.51029746749812,14.2877623759107,25.4742142845228,9.8990299217044,25.4742142845228,-0.0114657115984448,0.01,NA,18.9,0.4,0.53,0.03
"488","9403",3.83361867246127,8.87437589513554,40.2857917934003,6.35399728379841,40.2857917934003,-0.416505761904576,8.66,NA,12.42,0.26,0.35,0.19
"489","9404",5.38501248008766,10.1807620622835,36.2309265055919,7.78288727118559,36.2309265055919,-0.301453658905523,0.45,NA,17.78,0.24,0.13,0.06
"490","9408",1.13775298174927,18.2012507784204,33.2657692754604,9.66950188008486,33.2657692754604,-0.118375851522894,0.02,21.9,14.12,0.05,0.01,NA
"491","9409",0.325449979070741,15.1072436171096,38.2220970957798,7.7163467980902,38.2220970957798,-0.280363674527299,0.82,NA,16.71,0.16,1.15,0.02
"492","9410",11.5819016021068,18.4947227449842,15.3099179539541,15.0383121735455,15.3099179539541,0.309986407099635,0.03,3.8,14.61,0.04,0.37,0.03
"493","9411",10.0066866440757,27.3480461498694,15.3413408628406,18.6773663969725,15.3413408628406,0.469086668423508,1.51,4.89,12.71,0.2,0,0.09
"494","9412",4.90359086793797,7.43012438404088,30.5600431127894,6.16685762598942,30.5600431127894,-0.247084866004241,0.04,NA,12.72,0.3,0.66,0.13
"495","9413",0.0345787759113327,13.0772534518208,26.9257776472494,6.55591611386607,26.9257776472494,-0.100977381768387,NA,NA,NA,NA,NA,NA
"496","9414",1.3363786921943,18.6128216161183,22.3892222399126,9.9746001541563,22.3892222399126,0.103248069289613,0.01,7.1,21.39,0.84,0.13,0.11
"497","9415",1.22449815276539,18.7219819421341,15.7508936622277,9.97324004744977,15.7508936622277,0.234164424050083,0.4,NA,18.31,0.45,0.01,0.01
"498","9416",4.02841767871168,22.6053958831038,14.463829417362,13.3169067809078,14.463829417362,0.353503171753132,0.41,NA,10.87,1.3,0.13,NA
"499","9417",2.9486194622874,19.1408094581942,16.5548185524522,11.0447144602408,16.5548185524522,0.238459371656825,0.57,NA,12.77,0.19,0.51,0.16
"500","9418",0.287238942061736,28.6291679240675,14.7323113071318,14.4582034330646,14.7323113071318,0.438479194338368,0,NA,10.56,NA,NA,NA
"501","9419",1.61625613638462,13.1042093891357,33.8137921665343,7.36023276276017,33.8137921665343,-0.223985291223914,1.14,6.44,11.16,0.46,0.26,0.09
"502","9420",1.51527333975082,11.8418553558906,33.1506556222288,6.67856434782069,33.1506556222288,-0.236063617134133,0.42,NA,10.86,0.79,0.06,0.37
"503","9426",4.69856237011445,15.2446772365589,27.143315113611,9.97161980333667,27.143315113611,-0.0312194156850658,NA,NA,NA,NA,NA,NA
"504","9427",0,18.8994174362141,38.5901614026384,9.44970871810705,38.5901614026384,-0.216723709704658,0.6,6.27,10.5,0.29,0.63,0.07
"505","9428",0.726154294137987,9.03295324074966,20.0100390038865,4.87955376744382,20.0100390038865,-0.0391284765407238,0.01,8.16,8.11,0.02,NA,0.12
"506","9429",0.214545145315379,25.5564150906413,13.2324085205507,12.8854801179783,13.2324085205507,0.408044787133026,0.09,5.26,14.99,NA,0.18,NA
"507","9430",1.62715387917972,28.0684905311884,15.2033042861871,14.8478222051841,15.2033042861871,0.427742660783481,0.05,4.73,15.75,0.07,0.07,0.02
"508","9431",0,27.0904547903099,23.7310647790369,13.545227395155,23.7310647790369,0.231179162905293,0.07,7.4,7.28,0.2,0.11,0.11
"509","9432",16.755003063942,18.5238402242173,19.362081515251,17.6394216440797,19.362081515251,0.267203363506227,1.68,NA,6.62,0.33,0.46,0.02
"510","9433",17.4744975860595,25.1739926459046,14.0856860438335,21.324245115982,14.0856860438335,0.503323960772471,0,NA,14.68,NA,NA,NA
"511","9434",5.660100035912,19.1751738380921,13.7959666177083,12.417636937002,13.7959666177083,0.311719298326433,0.38,NA,10.52,0.39,0.22,NA
"512","9435",4.28912508088093,23.6175719590578,11.4790674736412,13.9533485199694,11.4790674736412,0.433074960933115,0.35,NA,8.65,0.62,0.03,NA
"513","9436",0.899831847020231,19.8550650433255,19.674596564268,10.3774484451729,19.674596564268,0.177160312731386,0.26,NA,13.13,0.38,NA,0.12
"514","9471",1.21104083022223,9.60881489714609,51.4012090240476,5.40992786368416,51.4012090240476,-0.637464210093803,0.22,NA,10.5,0.2,0.29,0.08
