province,district,average number of flood events,average number of landslide events,average number of extreme weatherevents,average number of drought events,aet (Actual evapotranspiration),def (climate water deficit),pdsi (palmer drought severity index),pet (reference evapotranspiration),pr (precipitation accumulation),ro,soil (soil moisture),srad  (downward surface shortwave radiation),swe (snow water equivalent),tmmn (minimum temperature),tmmx (maximum temperature),vap (vapor pressure),vpd (vapor pressure deficit),vs (wind-speed at 10m)
1,Taplejung,,,,,"485,38","36,97","99,56","522,36","113,20","64,67","853,25","1832,81","1160,90","-10,30","104,85","809,31","35,25","227,34"
1,Panchthar,,,,,"758,84","141,82","91,87","900,66","167,51","91,23","851,71","1890,67","0,15","135,26","219,94","1564,98","66,91","126,66"
1,Ilam,,,,,"781,25","182,43","-41,28","963,68","206,69","128,19","903,89","1928,20","0,00","164,55","249,74","1901,00","76,55","120,99"
1,Jhapa,,,,,"818,58","270,79","-96,71","1089,37","224,78","142,71","991,08","2035,75","0,00","194,57","304,50","2498,44","93,48","121,44"
1,Morang,,,,,"800,62","283,29","-48,71","1083,91","191,26","111,45","836,14","2053,66","0,00","189,22","297,04","2424,79","89,16","120,40"
1,Sunsari,,,,,"776,25","321,02","-20,81","1097,27","155,66","78,43","794,05","2077,77","0,00","191,63","301,85","2495,80","89,01","117,06"
1,Dhankuta,,,,,"790,31","213,03","39,83","1003,34","137,72","58,70","630,58","1984,19","0,00","164,69","262,10","1912,68","85,82","118,25"
1,Terhathum,,,,,"776,82","153,94","105,34","930,76","162,81","85,07","728,19","1909,77","0,00","147,76","237,39","1688,32","74,60","113,94"
1,Sankhuwasabha,,,,,"639,36","63,81","108,03","703,17","162,12","97,87","741,78","1873,57","552,91","47,68","157,58","1100,26","48,73","166,63"
1,Bhojpur,,,,,"776,95","172,31","39,81","949,26","154,99","76,76","698,93","1941,43","0,00","142,96","243,27","1743,81","74,04","115,41"
1,Solukhumbu,,,,,"422,32","49,57","-0,14","471,89","96,94","56,56","745,99","1904,23","1120,93","-34,43","85,60","735,22","28,31","244,76"
1,Okhaldhunga,,,,,"724,45","197,33","36,80","921,78","147,59","74,60","616,35","1949,83","0,01","126,39","230,25","1630,67","64,50","114,01"
1,Khotang,,,,,"733,94","214,25","13,34","948,19","142,34","68,27","650,76","1962,62","0,00","137,76","241,36","1740,48","69,34","116,94"
1,Udayapur,,,,,"711,59","340,89","-19,63","1052,48","118,77","47,72","591,08","2057,01","0,00","173,49","284,46","2224,43","84,61","110,87"
2,Saptari,,,,,"703,13","406,24","-92,18","1109,37","117,15","47,29","804,36","2115,32","0,00","189,70","302,22","2540,88","84,95","119,59"
2,Siraha,,,,,"649,60","455,32","-79,60","1104,91","109,91","45,42","663,78","2126,60","0,00","185,19","299,93","2498,98","84,40","115,85"
2,Dhanusa,,,,,"616,39","486,75","-67,33","1103,14","123,96","62,94","629,52","2139,13","0,00","184,25","297,41","2489,88","81,82","116,03"
2,Mahottari,,,,,"629,29","470,37","-35,69","1099,66","138,47","76,39","703,33","2132,22","0,00","183,45","296,81","2477,84","82,03","114,81"
2,Sarlahi,,,,,"673,34","428,84","-25,80","1102,19","157,97","91,52","831,09","2120,79","0,00","185,15","300,03","2484,56","87,16","109,98"
2,Rautahat,,,,,"694,07","417,91","-80,79","1111,98","152,82","84,15","912,11","2119,98","0,00","186,92","303,82","2516,74","90,74","108,66"
2,Bara,,,,,"688,89","412,25","-87,39","1101,14","147,20","78,94","920,38","2107,82","0,00","184,12","303,34","2486,08","91,50","103,08"
2,Parsa,,,,,"684,86","402,60","-62,60","1087,46","139,55","71,51","947,97","2095,07","0,00","182,88","301,60","2447,50","91,94","98,46"
Bagmati,Sindhuli,,,,,"679,68","335,15","31,25","1014,82","138,69","71,07","573,22","2033,40","0,00","162,03","273,60","2099,29","78,55","102,25"
Bagmati,Ramechhap,,,,,"629,71","198,54","42,32","828,25","135,31","73,39","599,95","1939,27","35,93","91,67","200,90","1437,00","54,47","138,57"
Bagmati,Dolakha,,,,,"540,10","142,69","29,11","682,80","125,68","73,76","579,41","1896,22","91,78","35,76","149,25","1044,48","40,42","179,16"
Bagmati,Sindhupalchok,,,,,"565,96","176,96","107,85","742,92","134,92","79,44","545,88","1879,75","115,47","61,06","172,57","1226,85","43,37","147,00"
Bagmati,Kavrepalanchok,,,,,"674,34","235,60","104,53","909,94","154,26","87,32","519,56","1936,09","0,00","129,82","238,42","1753,12","59,64","102,42"
Bagmati,Lalitpur,,,,,"664,31","204,88","118,78","869,19","164,98","99,31","594,53","1909,24","0,00","116,11","225,62","1686,48","47,01","107,00"
Bagmati,Bhaktapur,,,,,"669,32","221,53","135,69","890,85","160,65","94,56","506,65","1924,80","0,00","121,80","234,02","1697,82","55,84","97,15"
Bagmati,Kathmandu,,,,,"659,75","217,88","152,90","877,63","164,52","99,41","550,85","1910,69","0,00","116,04","228,33","1656,45","52,24","101,64"
Bagmati,Nuwakot,,,,,"648,01","241,87","124,35","889,89","156,24","92,12","543,32","1928,55","1,00","119,80","230,40","1684,41","57,35","104,13"
Bagmati,Rasuwa,,,,,"398,59","146,92","98,08","545,51","77,04","37,53","554,96","1871,86","313,43","-10,42","108,39","849,79","29,17","216,67"
Bagmati,Dhading,,,,,"668,08","203,11","141,15","871,19","148,81","82,52","653,45","1953,46","22,68","113,26","223,39","1678,06","57,01","113,91"
Bagmati,Makwanpur,,,,,"722,13","249,11","82,15","971,24","171,71","100,18","725,71","2005,40","0,00","151,68","263,05","2059,12","67,32","97,26"
Bagmati,Chitawan,,,,,"758,35","294,69","127,51","1053,04","171,10","95,82","919,23","2065,20","0,00","177,33","291,68","2340,81","86,12","93,90"
Gandaki,Gorkha,,,,,"479,75","143,00","135,69","622,74","95,30","45,87","604,52","1908,30","428,62","22,89","137,16","1134,28","35,68","184,99"
Gandaki,Lamjung,,,,,"619,71","154,90","114,34","774,61","128,98","66,66","662,42","1902,62","390,90","76,07","185,27","1411,84","41,32","138,81"
Gandaki,Tanahu,,,,,"807,32","182,43","180,13","989,75","213,10","133,17","903,85","2004,45","0,00","161,59","272,22","2131,37","72,67","91,53"
Gandaki,Syangja,,,,,"782,73","153,59","179,93","936,32","191,00","113,33","871,16","1977,58","0,00","140,76","251,08","1966,03","55,78","104,50"
Gandaki,Kaski,,,,,"597,25","96,65","200,71","693,90","148,31","86,34","764,05","1902,18","999,48","52,32","161,67","1336,04","36,10","161,30"
Gandaki,Manang,,,,,"239,75","35,39","299,88","275,15","58,08","25,88","627,04","1885,67","2240,31","-93,66","22,74","551,37","10,82","295,94"
Gandaki,Mustang,,,,,"276,49","81,60","317,18","358,10","56,32","23,10","399,63","1906,48","482,21","-73,55","40,82","591,47","14,76","297,85"
Gandaki,Myagdi,,,,,"471,23","99,37","193,81","570,60","100,07","48,36","656,64","1919,32","1873,61","0,60","108,79","1040,74","20,28","197,71"
Gandaki,Parbat,,,,,"733,92","142,72","164,80","876,64","168,03","95,18","736,61","1946,84","0,04","114,69","224,18","1731,10","42,50","114,67"
Gandaki,Baglung,,,,,"656,22","147,76","159,23","803,97","138,66","72,35","687,68","1948,60","4,50","78,12","185,03","1443,32","29,66","137,65"
Gandaki,Nawalparasi East,,,,,"784,59","253,39","177,85","1037,98","185,15","107,37","1033,61","2044,67","0,00","172,73","286,24","2284,05","81,84","100,14"
5,Gulmi,,,,,"705,87","192,68","137,63","898,55","154,63","84,20","715,70","1970,49","0,00","122,50","233,60","1828,90","43,95","112,76"
5,Palpa,,,,,"741,52","200,80","156,77","942,32","156,42","82,93","965,74","1987,12","0,00","141,87","253,61","2002,50","55,66","109,65"
5,Nawalparasi West,,,,,"720,06","368,13","97,87","1088,18","159,97","88,62","1046,93","2078,08","0,00","183,45","301,78","2425,17","94,56","103,79"
5,Rupandehi,,,,,"652,35","441,55","70,24","1093,89","144,61","80,00","995,86","2090,01","0,00","182,34","304,38","2396,54","100,66","101,48"
5,Kapilbastu,,,,,"635,66","461,91","79,05","1097,57","130,99","67,72","1023,87","2112,57","0,00","182,78","303,13","2341,19","105,59","98,05"
5,Arghakhanchi,,,,,"662,59","293,33","99,32","955,92","135,14","68,97","774,21","2007,70","0,00","139,75","253,60","1954,89","60,88","110,53"
5,Pyuthan,,,,,"654,26","268,58","112,05","922,84","142,81","77,03","665,61","1997,11","0,01","124,46","236,08","1820,85","50,91","113,73"
5,Rolpa,,,,,"662,38","198,29","189,24","860,67","150,32","83,39","643,40","1969,51","0,24","101,30","207,28","1633,77","34,79","123,33"
5,Rukum East,,,,,"516,78","157,66","224,73","674,44","109,60","55,45","602,94","1940,31","77,34","32,43","136,66","1156,93","20,99","178,21"
5,Dang,,,,,"629,52","412,96","65,90","1042,48","142,30","78,87","786,78","2090,36","0,00","159,32","277,22","2075,69","85,65","103,49"
5,Banke,,,,,"683,12","430,59","11,27","1113,70","118,82","49,43","1044,89","2119,21","0,00","177,62","301,51","2224,38","112,34","102,40"
5,Bardiya,,,,,"709,17","388,35","-49,03","1097,51","126,80","54,38","1189,67","2093,51","0,00","179,33","296,83","2211,22","108,68","101,27"
Karnali,Rukum West,,,,,"610,84","211,33","209,02","822,17","135,02","72,98","540,51","1957,66","7,76","86,51","192,23","1513,86","34,87","136,68"
Karnali,Salyan,,,,,"666,33","282,42","88,59","948,74","147,96","80,16","689,47","2011,26","0,00","133,38","241,42","1830,88","57,81","112,41"
Karnali,Surkhet,,,,,"684,34","317,04","12,70","1001,38","122,80","52,66","850,54","2019,16","0,00","150,67","263,48","1954,73","78,01","107,05"
Karnali,Dailekh,,,,,"683,36","234,46","140,90","917,81","115,53","45,42","767,93","1973,47","0,14","124,28","227,30","1723,65","53,05","119,17"
Karnali,Jajarkot,,,,,"600,08","217,14","184,44","817,23","111,33","49,47","619,24","1952,86","7,55","83,38","186,75","1477,52","33,06","137,09"
Karnali,Dolpa,,,,,"301,16","60,67","360,14","361,83","63,57","28,46","503,13","1887,02","347,57","-68,62","38,51","628,31","11,49","283,28"
Karnali,Jumla,,,,,"459,57","181,84","269,49","641,41","79,56","28,61","683,23","1927,15","38,87","16,42","118,37","1006,17","19,57","194,85"
Karnali,Kalikot,,,,,"581,55","219,83","246,43","801,38","96,57","35,28","750,15","1953,94","4,52","68,74","170,32","1313,36","30,07","156,52"
Karnali,Mugu,,,,,"379,06","133,55","329,72","512,61","63,85","21,52","612,25","1896,67","98,53","-23,27","82,46","846,56","18,18","224,74"
Karnali,Humla,,,,,"315,15","70,43","246,54","385,58","57,28","22,64","735,91","1874,59","112,49","-66,44","39,97","622,41","15,01","252,07"
Sudur Pashchim,Bajura,,,,,"534,87","183,50","228,87","718,38","94,43","38,05","856,54","1923,27","30,87","44,40","146,92","1163,08","29,62","168,66"
Sudur Pashchim,Bajhang,,,,,"498,12","110,17","170,12","608,29","102,86","49,82","1385,33","1907,87","80,99","10,84","110,45","977,60","27,46","195,96"
Sudur Pashchim,Achham,,,,,"718,79","234,27","119,96","953,06","117,04","43,36","1011,88","1976,84","0,04","130,71","238,11","1728,41","65,58","123,31"
Sudur Pashchim,Doti,,,,,"765,47","182,15","130,46","947,62","121,19","42,46","1370,20","1975,85","0,00","128,44","231,91","1663,96","64,91","125,15"
Sudur Pashchim,Kailali,,,,,"738,66","339,33","-85,76","1078,00","117,06","41,39","1393,09","2063,74","0,00","174,54","288,56","2099,19","108,30","103,04"
Sudur Pashchim,Kanchanpur,,,,,"678,09","434,30","-136,57","1112,39","98,48","28,68","1398,21","2097,02","0,00","182,26","300,34","2155,05","122,87","100,68"
Sudur Pashchim,Dadeldhura,,,,,"737,22","248,39","26,01","985,61","116,34","40,58","1245,95","2011,51","0,00","138,83","243,83","1715,68","76,12","125,18"
Sudur Pashchim,Baitadi,,,,,"744,06","208,23","86,84","952,29","131,68","55,50","1180,41","1988,18","0,00","125,32","227,73","1571,36","67,74","133,21"
Sudur Pashchim,Darchula,,,,,"485,13","116,22","106,39","601,35","108,48","56,77","1139,10","1927,31","90,58","5,12","105,63","917,49","33,52","202,50"