idkab,nmprov,nmkab,kdprov,kdkab
1101,ACEH,SIMEULUE,11,01
1102,ACEH,ACEH SINGKIL,11,02
1103,ACEH,ACEH SELATAN,11,03
1104,ACEH,ACEH TENGGARA,11,04
1105,ACEH,ACEH TIMUR,11,05
1106,ACEH,ACEH TENGAH,11,06
1107,ACEH,ACEH BARAT,11,07
1108,ACEH,ACEH BESAR,11,08
1109,ACEH,PIDIE,11,09
1110,ACEH,BIREUEN,11,10
1111,ACEH,ACEH UTARA,11,11
1112,ACEH,ACEH BARAT DAYA,11,12
1113,ACEH,GAYO LUES,11,13
1114,ACEH,ACEH TAMIANG,11,14
1115,ACEH,NAGAN RAYA,11,15
1116,ACEH,ACEH JAYA,11,16
1117,ACEH,BENER MERIAH,11,17
1118,ACEH,PIDIE JAYA,11,18
1171,ACEH,BANDA ACEH,11,71
1172,ACEH,SABANG,11,72
1173,ACEH,LANGSA,11,73
1174,ACEH,LHOKSEUMAWE,11,74
1175,ACEH,SUBULUSSALAM,11,75
1201,SUMATERA UTARA,NIAS,12,01
1202,SUMATERA UTARA,MANDAILING NATAL,12,02
1203,SUMATERA UTARA,TAPANULI SELATAN,12,03
1204,SUMATERA UTARA,TAPANULI TENGAH,12,04
1205,SUMATERA UTARA,TAPANULI UTARA,12,05
1206,SUMATERA UTARA,TOBA,12,06
1207,SUMATERA UTARA,LABUHAN BATU,12,07
1208,SUMATERA UTARA,ASAHAN,12,08
1209,SUMATERA UTARA,SIMALUNGUN,12,09
1210,SUMATERA UTARA,DAIRI,12,10
1211,SUMATERA UTARA,KARO,12,11
1212,SUMATERA UTARA,DELI SERDANG,12,12
1213,SUMATERA UTARA,LANGKAT,12,13
1214,SUMATERA UTARA,NIAS SELATAN,12,14
1215,SUMATERA UTARA,HUMBANG HASUNDUTAN,12,15
1216,SUMATERA UTARA,PAKPAK BHARAT,12,16
1217,SUMATERA UTARA,SAMOSIR,12,17
1218,SUMATERA UTARA,SERDANG BEDAGAI,12,18
1219,SUMATERA UTARA,BATU BARA,12,19
1220,SUMATERA UTARA,PADANG LAWAS UTARA,12,20
1221,SUMATERA UTARA,PADANG LAWAS,12,21
1222,SUMATERA UTARA,LABUHAN BATU SELATAN,12,22
1223,SUMATERA UTARA,LABUHAN BATU UTARA,12,23
1224,SUMATERA UTARA,NIAS UTARA,12,24
1225,SUMATERA UTARA,NIAS BARAT,12,25
1271,SUMATERA UTARA,SIBOLGA,12,71
1272,SUMATERA UTARA,TANJUNG BALAI,12,72
1273,SUMATERA UTARA,PEMATANG SIANTAR,12,73
1274,SUMATERA UTARA,TEBING TINGGI,12,74
1275,SUMATERA UTARA,MEDAN,12,75
1276,SUMATERA UTARA,BINJAI,12,76
1277,SUMATERA UTARA,PADANGSIDIMPUAN,12,77
1278,SUMATERA UTARA,GUNUNGSITOLI,12,78
1301,SUMATERA BARAT,KEPULAUAN MENTAWAI,13,01
1302,SUMATERA BARAT,PESISIR SELATAN,13,02
1303,SUMATERA BARAT,SOLOK,13,03
1304,SUMATERA BARAT,SIJUNJUNG,13,04
1305,SUMATERA BARAT,TANAH DATAR,13,05
1306,SUMATERA BARAT,PADANG PARIAMAN,13,06
1307,SUMATERA BARAT,AGAM,13,07
1308,SUMATERA BARAT,LIMA PULUH KOTA,13,08
1309,SUMATERA BARAT,PASAMAN,13,09
1310,SUMATERA BARAT,SOLOK SELATAN,13,10
1311,SUMATERA BARAT,DHARMASRAYA,13,11
1312,SUMATERA BARAT,PASAMAN BARAT,13,12
1371,SUMATERA BARAT,PADANG,13,71
1372,SUMATERA BARAT,SOLOK,13,72
1373,SUMATERA BARAT,SAWAH LUNTO,13,73
1374,SUMATERA BARAT,PADANG PANJANG,13,74
1375,SUMATERA BARAT,BUKITTINGGI,13,75
1376,SUMATERA BARAT,PAYAKUMBUH,13,76
1377,SUMATERA BARAT,PARIAMAN,13,77
1401,RIAU,KUANTAN SINGINGI,14,01
1402,RIAU,INDRAGIRI HULU,14,02
1403,RIAU,INDRAGIRI HILIR,14,03
1404,RIAU,PELALAWAN,14,04
1405,RIAU,S I A K,14,05
1406,RIAU,KAMPAR,14,06
1407,RIAU,ROKAN HULU,14,07
1408,RIAU,BENGKALIS,14,08
1409,RIAU,ROKAN HILIR,14,09
1410,RIAU,KEPULAUAN MERANTI,14,10
1471,RIAU,PEKANBARU,14,71
1473,RIAU,D U M A I,14,73
1501,JAMBI,KERINCI,15,01
1502,JAMBI,MERANGIN,15,02
1503,JAMBI,SAROLANGUN,15,03
1504,JAMBI,BATANG HARI,15,04
1505,JAMBI,MUARO JAMBI,15,05
1506,JAMBI,TANJUNG JABUNG TIMUR,15,06
1507,JAMBI,TANJUNG JABUNG BARAT,15,07
1508,JAMBI,TEBO,15,08
1509,JAMBI,BUNGO,15,09
1571,JAMBI,JAMBI,15,71
1572,JAMBI,SUNGAI PENUH,15,72
1601,SUMATERA SELATAN,OGAN KOMERING ULU,16,01
1602,SUMATERA SELATAN,OGAN KOMERING ILIR,16,02
1603,SUMATERA SELATAN,MUARA ENIM,16,03
1604,SUMATERA SELATAN,LAHAT,16,04
1605,SUMATERA SELATAN,MUSI RAWAS,16,05
1606,SUMATERA SELATAN,MUSI BANYUASIN,16,06
1607,SUMATERA SELATAN,BANYU ASIN,16,07
1608,SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,16,08
1609,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,16,09
1610,SUMATERA SELATAN,OGAN ILIR,16,10
1611,SUMATERA SELATAN,EMPAT LAWANG,16,11
1612,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,16,12
1613,SUMATERA SELATAN,MUSI RAWAS UTARA,16,13
1671,SUMATERA SELATAN,PALEMBANG,16,71
1672,SUMATERA SELATAN,PRABUMULIH,16,72
1673,SUMATERA SELATAN,PAGAR ALAM,16,73
1674,SUMATERA SELATAN,LUBUKLINGGAU,16,74
1701,BENGKULU,BENGKULU SELATAN,17,01
1702,BENGKULU,REJANG LEBONG,17,02
1703,BENGKULU,BENGKULU UTARA,17,03
1704,BENGKULU,KAUR,17,04
1705,BENGKULU,SELUMA,17,05
1706,BENGKULU,MUKOMUKO,17,06
1707,BENGKULU,LEBONG,17,07
1708,BENGKULU,KEPAHIANG,17,08
1709,BENGKULU,BENGKULU TENGAH,17,09
1771,BENGKULU,BENGKULU,17,71
1801,LAMPUNG,LAMPUNG BARAT,18,01
1802,LAMPUNG,TANGGAMUS,18,02
1803,LAMPUNG,LAMPUNG SELATAN,18,03
1804,LAMPUNG,LAMPUNG TIMUR,18,04
1805,LAMPUNG,LAMPUNG TENGAH,18,05
1806,LAMPUNG,LAMPUNG UTARA,18,06
1807,LAMPUNG,WAY KANAN,18,07
1808,LAMPUNG,TULANGBAWANG,18,08
1809,LAMPUNG,PESAWARAN,18,09
1810,LAMPUNG,PRINGSEWU,18,10
1811,LAMPUNG,MESUJI,18,11
1812,LAMPUNG,TULANG BAWANG BARAT,18,12
1813,LAMPUNG,PESISIR BARAT,18,13
1871,LAMPUNG,BANDAR LAMPUNG,18,71
1872,LAMPUNG,METRO,18,72
1901,KEPULAUAN BANGKA BELITUNG,BANGKA,19,01
1902,KEPULAUAN BANGKA BELITUNG,BELITUNG,19,02
1903,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,19,03
1904,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,19,04
1905,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,19,05
1906,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,19,06
1971,KEPULAUAN BANGKA BELITUNG,PANGKALPINANG,19,71
2101,KEPULAUAN RIAU,KARIMUN,21,01
2102,KEPULAUAN RIAU,BINTAN,21,02
2103,KEPULAUAN RIAU,NATUNA,21,03
2104,KEPULAUAN RIAU,LINGGA,21,04
2105,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,21,05
2171,KEPULAUAN RIAU,B A T A M,21,71
2172,KEPULAUAN RIAU,TANJUNG PINANG,21,72
3101,DKI JAKARTA,KEPULAUAN SERIBU,31,01
3171,DKI JAKARTA,JAKARTA SELATAN,31,71
3172,DKI JAKARTA,JAKARTA TIMUR,31,72
3173,DKI JAKARTA,JAKARTA PUSAT,31,73
3174,DKI JAKARTA,JAKARTA BARAT,31,74
3175,DKI JAKARTA,JAKARTA UTARA,31,75
3201,JAWA BARAT,BOGOR,32,01
3202,JAWA BARAT,SUKABUMI,32,02
3203,JAWA BARAT,CIANJUR,32,03
3204,JAWA BARAT,BANDUNG,32,04
3205,JAWA BARAT,GARUT,32,05
3206,JAWA BARAT,TASIKMALAYA,32,06
3207,JAWA BARAT,CIAMIS,32,07
3208,JAWA BARAT,KUNINGAN,32,08
3209,JAWA BARAT,CIREBON,32,09
3210,JAWA BARAT,MAJALENGKA,32,10
3211,JAWA BARAT,SUMEDANG,32,11
3212,JAWA BARAT,INDRAMAYU,32,12
3213,JAWA BARAT,SUBANG,32,13
3214,JAWA BARAT,PURWAKARTA,32,14
3215,JAWA BARAT,KARAWANG,32,15
3216,JAWA BARAT,BEKASI,32,16
3217,JAWA BARAT,BANDUNG BARAT,32,17
3218,JAWA BARAT,PANGANDARAN,32,18
3271,JAWA BARAT,BOGOR,32,71
3272,JAWA BARAT,SUKABUMI,32,72
3273,JAWA BARAT,BANDUNG,32,73
3274,JAWA BARAT,CIREBON,32,74
3275,JAWA BARAT,BEKASI,32,75
3276,JAWA BARAT,DEPOK,32,76
3277,JAWA BARAT,CIMAHI,32,77
3278,JAWA BARAT,TASIKMALAYA,32,78
3279,JAWA BARAT,BANJAR,32,79
3301,JAWA TENGAH,CILACAP,33,01
3302,JAWA TENGAH,BANYUMAS,33,02
3303,JAWA TENGAH,PURBALINGGA,33,03
3304,JAWA TENGAH,BANJARNEGARA,33,04
3305,JAWA TENGAH,KEBUMEN,33,05
3306,JAWA TENGAH,PURWOREJO,33,06
3307,JAWA TENGAH,WONOSOBO,33,07
3308,JAWA TENGAH,MAGELANG,33,08
3309,JAWA TENGAH,BOYOLALI,33,09
3310,JAWA TENGAH,KLATEN,33,10
3311,JAWA TENGAH,SUKOHARJO,33,11
3312,JAWA TENGAH,WONOGIRI,33,12
3313,JAWA TENGAH,KARANGANYAR,33,13
3314,JAWA TENGAH,SRAGEN,33,14
3315,JAWA TENGAH,GROBOGAN,33,15
3316,JAWA TENGAH,BLORA,33,16
3317,JAWA TENGAH,REMBANG,33,17
3318,JAWA TENGAH,PATI,33,18
3319,JAWA TENGAH,KUDUS,33,19
3320,JAWA TENGAH,JEPARA,33,20
3321,JAWA TENGAH,DEMAK,33,21
3322,JAWA TENGAH,SEMARANG,33,22
3323,JAWA TENGAH,TEMANGGUNG,33,23
3324,JAWA TENGAH,KENDAL,33,24
3325,JAWA TENGAH,BATANG,33,25
3326,JAWA TENGAH,PEKALONGAN,33,26
3327,JAWA TENGAH,PEMALANG,33,27
3328,JAWA TENGAH,TEGAL,33,28
3329,JAWA TENGAH,BREBES,33,29
3371,JAWA TENGAH,MAGELANG,33,71
3372,JAWA TENGAH,SURAKARTA,33,72
3373,JAWA TENGAH,SALATIGA,33,73
3374,JAWA TENGAH,SEMARANG,33,74
3375,JAWA TENGAH,PEKALONGAN,33,75
3376,JAWA TENGAH,TEGAL,33,76
3401,DI YOGYAKARTA,KULON PROGO,34,01
3402,DI YOGYAKARTA,BANTUL,34,02
3403,DI YOGYAKARTA,GUNUNG KIDUL,34,03
3404,DI YOGYAKARTA,SLEMAN,34,04
3471,DI YOGYAKARTA,YOGYAKARTA,34,71
3501,JAWA TIMUR,PACITAN,35,01
3502,JAWA TIMUR,PONOROGO,35,02
3503,JAWA TIMUR,TRENGGALEK,35,03
3504,JAWA TIMUR,TULUNGAGUNG,35,04
3505,JAWA TIMUR,BLITAR,35,05
3506,JAWA TIMUR,KEDIRI,35,06
3507,JAWA TIMUR,MALANG,35,07
3508,JAWA TIMUR,LUMAJANG,35,08
3509,JAWA TIMUR,JEMBER,35,09
3510,JAWA TIMUR,BANYUWANGI,35,10
3511,JAWA TIMUR,BONDOWOSO,35,11
3512,JAWA TIMUR,SITUBONDO,35,12
3513,JAWA TIMUR,PROBOLINGGO,35,13
3514,JAWA TIMUR,PASURUAN,35,14
3515,JAWA TIMUR,SIDOARJO,35,15
3516,JAWA TIMUR,MOJOKERTO,35,16
3517,JAWA TIMUR,JOMBANG,35,17
3518,JAWA TIMUR,NGANJUK,35,18
3519,JAWA TIMUR,MADIUN,35,19
3520,JAWA TIMUR,MAGETAN,35,20
3521,JAWA TIMUR,NGAWI,35,21
3522,JAWA TIMUR,BOJONEGORO,35,22
3523,JAWA TIMUR,TUBAN,35,23
3524,JAWA TIMUR,LAMONGAN,35,24
3525,JAWA TIMUR,GRESIK,35,25
3526,JAWA TIMUR,BANGKALAN,35,26
3527,JAWA TIMUR,SAMPANG,35,27
3528,JAWA TIMUR,PAMEKASAN,35,28
3529,JAWA TIMUR,SUMENEP,35,29
3571,JAWA TIMUR,KEDIRI,35,71
3572,JAWA TIMUR,BLITAR,35,72
3573,JAWA TIMUR,MALANG,35,73
3574,JAWA TIMUR,PROBOLINGGO,35,74
3575,JAWA TIMUR,PASURUAN,35,75
3576,JAWA TIMUR,MOJOKERTO,35,76
3577,JAWA TIMUR,MADIUN,35,77
3578,JAWA TIMUR,SURABAYA,35,78
3579,JAWA TIMUR,BATU,35,79
3601,BANTEN,PANDEGLANG,36,01
3602,BANTEN,LEBAK,36,02
3603,BANTEN,TANGERANG,36,03
3604,BANTEN,SERANG,36,04
3671,BANTEN,TANGERANG,36,71
3672,BANTEN,CILEGON,36,72
3673,BANTEN,SERANG,36,73
3674,BANTEN,TANGERANG SELATAN,36,74
5101,BALI,JEMBRANA,51,01
5102,BALI,TABANAN,51,02
5103,BALI,BADUNG,51,03
5104,BALI,GIANYAR,51,04
5105,BALI,KLUNGKUNG,51,05
5106,BALI,BANGLI,51,06
5107,BALI,KARANGASEM,51,07
5108,BALI,BULELENG,51,08
5171,BALI,DENPASAR,51,71
5201,NUSA TENGGARA BARAT,LOMBOK BARAT,52,01
5202,NUSA TENGGARA BARAT,LOMBOK TENGAH,52,02
5203,NUSA TENGGARA BARAT,LOMBOK TIMUR,52,03
5204,NUSA TENGGARA BARAT,SUMBAWA,52,04
5205,NUSA TENGGARA BARAT,DOMPU,52,05
5206,NUSA TENGGARA BARAT,BIMA,52,06
5207,NUSA TENGGARA BARAT,SUMBAWA BARAT,52,07
5208,NUSA TENGGARA BARAT,LOMBOK UTARA,52,08
5271,NUSA TENGGARA BARAT,MATARAM,52,71
5272,NUSA TENGGARA BARAT,BIMA,52,72
5301,NUSA TENGGARA TIMUR,SUMBA BARAT,53,01
5302,NUSA TENGGARA TIMUR,SUMBA TIMUR,53,02
5303,NUSA TENGGARA TIMUR,KUPANG,53,03
5304,NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,53,04
5305,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,53,05
5306,NUSA TENGGARA TIMUR,BELU,53,06
5307,NUSA TENGGARA TIMUR,ALOR,53,07
5308,NUSA TENGGARA TIMUR,LEMBATA,53,08
5309,NUSA TENGGARA TIMUR,FLORES TIMUR,53,09
5310,NUSA TENGGARA TIMUR,SIKKA,53,10
5311,NUSA TENGGARA TIMUR,ENDE,53,11
5312,NUSA TENGGARA TIMUR,NGADA,53,12
5313,NUSA TENGGARA TIMUR,MANGGARAI,53,13
5314,NUSA TENGGARA TIMUR,ROTE NDAO,53,14
5315,NUSA TENGGARA TIMUR,MANGGARAI BARAT,53,15
5316,NUSA TENGGARA TIMUR,SUMBA TENGAH,53,16
5317,NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,53,17
5318,NUSA TENGGARA TIMUR,NAGEKEO,53,18
5319,NUSA TENGGARA TIMUR,MANGGARAI TIMUR,53,19
5320,NUSA TENGGARA TIMUR,SABU RAIJUA,53,20
5321,NUSA TENGGARA TIMUR,MALAKA,53,21
5371,NUSA TENGGARA TIMUR,KUPANG,53,71
6101,KALIMANTAN BARAT,SAMBAS,61,01
6102,KALIMANTAN BARAT,BENGKAYANG,61,02
6103,KALIMANTAN BARAT,LANDAK,61,03
6104,KALIMANTAN BARAT,MEMPAWAH,61,04
6105,KALIMANTAN BARAT,SANGGAU,61,05
6106,KALIMANTAN BARAT,KETAPANG,61,06
6107,KALIMANTAN BARAT,SINTANG,61,07
6108,KALIMANTAN BARAT,KAPUAS HULU,61,08
6109,KALIMANTAN BARAT,SEKADAU,61,09
6110,KALIMANTAN BARAT,MELAWI,61,10
6111,KALIMANTAN BARAT,KAYONG UTARA,61,11
6112,KALIMANTAN BARAT,KUBU RAYA,61,12
6171,KALIMANTAN BARAT,PONTIANAK,61,71
6172,KALIMANTAN BARAT,SINGKAWANG,61,72
6201,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,62,01
6202,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,62,02
6203,KALIMANTAN TENGAH,KAPUAS,62,03
6204,KALIMANTAN TENGAH,BARITO SELATAN,62,04
6205,KALIMANTAN TENGAH,BARITO UTARA,62,05
6206,KALIMANTAN TENGAH,SUKAMARA,62,06
6207,KALIMANTAN TENGAH,LAMANDAU,62,07
6208,KALIMANTAN TENGAH,SERUYAN,62,08
6209,KALIMANTAN TENGAH,KATINGAN,62,09
6210,KALIMANTAN TENGAH,PULANG PISAU,62,10
6211,KALIMANTAN TENGAH,GUNUNG MAS,62,11
6212,KALIMANTAN TENGAH,BARITO TIMUR,62,12
6213,KALIMANTAN TENGAH,MURUNG RAYA,62,13
6271,KALIMANTAN TENGAH,PALANGKA RAYA,62,71
6301,KALIMANTAN SELATAN,TANAH LAUT,63,01
6302,KALIMANTAN SELATAN,KOTABARU,63,02
6303,KALIMANTAN SELATAN,BANJAR,63,03
6304,KALIMANTAN SELATAN,BARITO KUALA,63,04
6305,KALIMANTAN SELATAN,TAPIN,63,05
6306,KALIMANTAN SELATAN,HULU SUNGAI SELATAN,63,06
6307,KALIMANTAN SELATAN,HULU SUNGAI TENGAH,63,07
6308,KALIMANTAN SELATAN,HULU SUNGAI UTARA,63,08
6309,KALIMANTAN SELATAN,TABALONG,63,09
6310,KALIMANTAN SELATAN,TANAH BUMBU,63,10
6311,KALIMANTAN SELATAN,BALANGAN,63,11
6371,KALIMANTAN SELATAN,BANJARMASIN,63,71
6372,KALIMANTAN SELATAN,BANJAR BARU,63,72
6401,KALIMANTAN TIMUR,PASER,64,01
6402,KALIMANTAN TIMUR,KUTAI BARAT,64,02
6403,KALIMANTAN TIMUR,KUTAI KARTANEGARA,64,03
6404,KALIMANTAN TIMUR,KUTAI TIMUR,64,04
6405,KALIMANTAN TIMUR,BERAU,64,05
6409,KALIMANTAN TIMUR,PENAJAM PASER UTARA,64,09
6411,KALIMANTAN TIMUR,MAHAKAM HULU,64,11
6471,KALIMANTAN TIMUR,BALIKPAPAN,64,71
6472,KALIMANTAN TIMUR,SAMARINDA,64,72
6474,KALIMANTAN TIMUR,BONTANG,64,74
6501,KALIMANTAN UTARA,MALINAU,65,01
6502,KALIMANTAN UTARA,BULUNGAN,65,02
6503,KALIMANTAN UTARA,TANA TIDUNG,65,03
6504,KALIMANTAN UTARA,NUNUKAN,65,04
6571,KALIMANTAN UTARA,TARAKAN,65,71
7101,SULAWESI UTARA,BOLAANG MONGONDOW,71,01
7102,SULAWESI UTARA,MINAHASA,71,02
7103,SULAWESI UTARA,KEPULAUAN SANGIHE,71,03
7104,SULAWESI UTARA,KEPULAUAN TALAUD,71,04
7105,SULAWESI UTARA,MINAHASA SELATAN,71,05
7106,SULAWESI UTARA,MINAHASA UTARA,71,06
7107,SULAWESI UTARA,BOLAANG MONGONDOW UTARA,71,07
7108,SULAWESI UTARA,SIAU TAGULANDANG BIARO,71,08
7109,SULAWESI UTARA,MINAHASA TENGGARA,71,09
7110,SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,71,10
7111,SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,71,11
7171,SULAWESI UTARA,MANADO,71,71
7172,SULAWESI UTARA,BITUNG,71,72
7173,SULAWESI UTARA,TOMOHON,71,73
7174,SULAWESI UTARA,KOTAMOBAGU,71,74
7201,SULAWESI TENGAH,BANGGAI KEPULAUAN,72,01
7202,SULAWESI TENGAH,BANGGAI,72,02
7203,SULAWESI TENGAH,MOROWALI,72,03
7204,SULAWESI TENGAH,POSO,72,04
7205,SULAWESI TENGAH,DONGGALA,72,05
7206,SULAWESI TENGAH,TOLI-TOLI,72,06
7207,SULAWESI TENGAH,BUOL,72,07
7208,SULAWESI TENGAH,PARIGI MOUTONG,72,08
7209,SULAWESI TENGAH,TOJO UNA-UNA,72,09
7210,SULAWESI TENGAH,SIGI,72,10
7211,SULAWESI TENGAH,BANGGAI LAUT,72,11
7212,SULAWESI TENGAH,MOROWALI UTARA,72,12
7271,SULAWESI TENGAH,PALU,72,71
7301,SULAWESI SELATAN,KEPULAUAN SELAYAR,73,01
7302,SULAWESI SELATAN,BULUKUMBA,73,02
7303,SULAWESI SELATAN,BANTAENG,73,03
7304,SULAWESI SELATAN,JENEPONTO,73,04
7305,SULAWESI SELATAN,TAKALAR,73,05
7306,SULAWESI SELATAN,GOWA,73,06
7307,SULAWESI SELATAN,SINJAI,73,07
7308,SULAWESI SELATAN,MAROS,73,08
7309,SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,73,09
7310,SULAWESI SELATAN,BARRU,73,10
7311,SULAWESI SELATAN,BONE,73,11
7312,SULAWESI SELATAN,SOPPENG,73,12
7313,SULAWESI SELATAN,WAJO,73,13
7314,SULAWESI SELATAN,SIDENRENG RAPPANG,73,14
7315,SULAWESI SELATAN,PINRANG,73,15
7316,SULAWESI SELATAN,ENREKANG,73,16
7317,SULAWESI SELATAN,LUWU,73,17
7318,SULAWESI SELATAN,TANA TORAJA,73,18
7322,SULAWESI SELATAN,LUWU UTARA,73,22
7325,SULAWESI SELATAN,LUWU TIMUR,73,25
7326,SULAWESI SELATAN,TORAJA UTARA,73,26
7371,SULAWESI SELATAN,MAKASSAR,73,71
7372,SULAWESI SELATAN,PAREPARE,73,72
7373,SULAWESI SELATAN,PALOPO,73,73
7401,SULAWESI TENGGARA,BUTON,74,01
7402,SULAWESI TENGGARA,MUNA,74,02
7403,SULAWESI TENGGARA,KONAWE,74,03
7404,SULAWESI TENGGARA,KOLAKA,74,04
7405,SULAWESI TENGGARA,KONAWE SELATAN,74,05
7406,SULAWESI TENGGARA,BOMBANA,74,06
7407,SULAWESI TENGGARA,WAKATOBI,74,07
7408,SULAWESI TENGGARA,KOLAKA UTARA,74,08
7409,SULAWESI TENGGARA,BUTON UTARA,74,09
7410,SULAWESI TENGGARA,KONAWE UTARA,74,10
7411,SULAWESI TENGGARA,KOLAKA TIMUR,74,11
7412,SULAWESI TENGGARA,KONAWE KEPULAUAN,74,12
7413,SULAWESI TENGGARA,MUNA BARAT,74,13
7414,SULAWESI TENGGARA,BUTON TENGAH,74,14
7415,SULAWESI TENGGARA,BUTON SELATAN,74,15
7471,SULAWESI TENGGARA,KENDARI,74,71
7472,SULAWESI TENGGARA,BAUBAU,74,72
7501,GORONTALO,BOALEMO,75,01
7502,GORONTALO,GORONTALO,75,02
7503,GORONTALO,POHUWATO,75,03
7504,GORONTALO,BONE BOLANGO,75,04
7505,GORONTALO,GORONTALO UTARA,75,05
7571,GORONTALO,GORONTALO,75,71
7601,SULAWESI BARAT,MAJENE,76,01
7602,SULAWESI BARAT,POLEWALI MANDAR,76,02
7603,SULAWESI BARAT,MAMASA,76,03
7604,SULAWESI BARAT,MAMUJU,76,04
7605,SULAWESI BARAT,PASANGKAYU,76,05
7606,SULAWESI BARAT,MAMUJU TENGAH,76,06
8101,MALUKU,KEPULAUAN TANIMBAR,81,01
8102,MALUKU,MALUKU TENGGARA,81,02
8103,MALUKU,MALUKU TENGAH,81,03
8104,MALUKU,BURU,81,04
8105,MALUKU,KEPULAUAN ARU,81,05
8106,MALUKU,SERAM BAGIAN BARAT,81,06
8107,MALUKU,SERAM BAGIAN TIMUR,81,07
8108,MALUKU,MALUKU BARAT DAYA,81,08
8109,MALUKU,BURU SELATAN,81,09
8171,MALUKU,AMBON,81,71
8172,MALUKU,TUAL,81,72
8201,MALUKU UTARA,HALMAHERA BARAT,82,01
8202,MALUKU UTARA,HALMAHERA TENGAH,82,02
8203,MALUKU UTARA,KEPULAUAN SULA,82,03
8204,MALUKU UTARA,HALMAHERA SELATAN,82,04
8205,MALUKU UTARA,HALMAHERA UTARA,82,05
8206,MALUKU UTARA,HALMAHERA TIMUR,82,06
8207,MALUKU UTARA,PULAU MOROTAI,82,07
8208,MALUKU UTARA,PULAU TALIABU,82,08
8271,MALUKU UTARA,TERNATE,82,71
8272,MALUKU UTARA,TIDORE KEPULAUAN,82,72
9101,PAPUA BARAT,FAKFAK,91,01
9102,PAPUA BARAT,KAIMANA,91,02
9103,PAPUA BARAT,TELUK WONDAMA,91,03
9104,PAPUA BARAT,TELUK BINTUNI,91,04
9105,PAPUA BARAT,MANOKWARI,91,05
9106,PAPUA BARAT,SORONG SELATAN,91,06
9107,PAPUA BARAT,SORONG,91,07
9108,PAPUA BARAT,RAJA AMPAT,91,08
9109,PAPUA BARAT,TAMBRAUW,91,09
9110,PAPUA BARAT,MAYBRAT,91,10
9111,PAPUA BARAT,MANOKWARI SELATAN,91,11
9112,PAPUA BARAT,PEGUNUNGAN ARFAK,91,12
9171,PAPUA BARAT,SORONG,91,71
9401,PAPUA,MERAUKE,94,01
9402,PAPUA,JAYAWIJAYA,94,02
9403,PAPUA,JAYAPURA,94,03
9404,PAPUA,NABIRE,94,04
9408,PAPUA,KEPULAUAN YAPEN,94,08
9409,PAPUA,BIAK NUMFOR,94,09
9410,PAPUA,PANIAI,94,10
9411,PAPUA,PUNCAK JAYA,94,11
9412,PAPUA,MIMIKA,94,12
9413,PAPUA,BOVEN DIGOEL,94,13
9414,PAPUA,MAPPI,94,14
9415,PAPUA,ASMAT,94,15
9416,PAPUA,YAHUKIMO,94,16
9417,PAPUA,PEGUNUNGAN BINTANG,94,17
9418,PAPUA,TOLIKARA,94,18
9419,PAPUA,SARMI,94,19
9420,PAPUA,KEEROM,94,20
9426,PAPUA,WAROPEN,94,26
9427,PAPUA,SUPIORI,94,27
9428,PAPUA,MAMBERAMO RAYA,94,28
9429,PAPUA,NDUGA,94,29
9430,PAPUA,LANNY JAYA,94,30
9431,PAPUA,MAMBERAMO TENGAH,94,31
9432,PAPUA,YALIMO,94,32
9433,PAPUA,PUNCAK,94,33
9434,PAPUA,DOGIYAI,94,34
9435,PAPUA,INTAN JAYA,94,35
9436,PAPUA,DEIYAI,94,36
9471,PAPUA,JAYAPURA,94,71
